building,town,county,occurrences,dove_tower_id,confidence,alternatives,reasoning
St Dunstan-in-the-East,London,,1,11914,medium,15228;11081;13868;12429;13028;16634;16578;10471;16020;13189,Partial dedication match for 'S Dunstan-in-the-West' among 42 towers in town
St John,Hackney,Greater London,1,16961,high,,Unique tower in Hackney; dedication 'S John at Hackney' matches 'St John'
,Tideswell,,1,16875,high,,Unique tower in Tideswell (Derbyshire); building unspecified in source
St Mary,Liss,Hampshire,1,13966,high,25916;10378,Resolved dedication 'S Mary' (Liss) among 3 towers in town
,Orwell,,1,11133,high,,Unique tower in Orwell (Cambridgeshire); building unspecified in source
"The Rose Inn, St Laurence",Ramsgate,Kent,1,16943,high,22930;22931;22932;25114,Resolved dedication 'S Laurence' (St Laurence in Thanet) among 5 towers in town
St Augustine,Thorpe Bay,Essex,1,16408,high,,Unique tower in Thorpe Bay; dedication 'S Augustine' matches 'St Augustine'
SS Peter and Paul,Aldeburgh,Suffolk,1,17039,high,,Unique tower in Aldeburgh; dedication 'S Peter & S Paul' matches 'SS Peter and Paul'
,South Hackney,,1,16835,high,,Unique tower in South Hackney (Greater London); building unspecified in source
,Bray,Berks,1,11267,high,,Unique tower in Bray (Berkshire); building unspecified in source
St Peter,Hook Norton,Oxfordshire,1,10393,high,,Unique tower in Hook Norton; dedication 'S Peter' matches 'St Peter'
St Martin-in-the-Fields,Philadelphia,Pennsylvania,1,13478,high,10173;16003;12483,Resolved dedication 'S Martin in the Fields' (Philadelphia) among 4 towers in town
Annunciation,Chislehurst,,1,10438,high,14258;19163,Resolved dedication 'Annunciation BVM' (Chislehurst) among 3 towers in town
St Mary and All Saints,Fillongley,Warwickshire,1,11875,high,,Unique tower in Fillongley; dedication 'S Mary & All Saints' matches 'St Mary and All Saints'
St Mary Magdalene,Wethersfield,Essex,1,16257,high,,Unique tower in Wethersfield; dedication 'S Mary Magd' matches 'St Mary Magdalene'
St Margaret,Ditchling,East Sussex,1,14374,high,,Unique tower in Ditchling; dedication 'S Margaret' matches 'St Margaret'
Holy Cross,Uckfield,East Sussex,1,13406,high,,Unique tower in Uckfield; dedication 'Holy Cross' matches 'Holy Cross'
St Mary,Bridport,Dorset,1,14762,high,,Unique tower in Bridport; dedication 'S Mary' matches 'St Mary'
St Mary's Cathedral,Sydney NSW,Australia,1,,none,,No matching tower found for 'Sydney NSW' in Dove register
St Mary the Virgin,Burwell,Cambridgeshire,1,13607,high,,Unique tower in Burwell; dedication 'S Mary BV' matches 'St Mary the Virgin'
Chedburgh Campanile,Lincoln,Lincolnshire,1,25226,high,12153;12159;13659;10782;21599;11493;17791;21600;21601;21602,Resolved dedication 'Chedburgh Campanile' (Lincoln) among 14 towers in town
Woodside Campanile,Branston,Lincolnshire,1,25264,high,15716,Resolved dedication 'Woodside Campanile' (Branston) among 2 towers in town
All Saints,Harmston,Lincolnshire,1,12433,high,,Unique tower in Harmston; dedication 'All Saints' matches 'All Saints'
St Andrew,Whittlesey,Cambridgeshire,1,14725,high,12160,Resolved dedication 'S Andrew' (Whittlesey) among 2 towers in town
SS Margaret and Andrew,Littleham,Devon,1,,none,15338;15227,Unresolved: 'SS Margaret and Andrew' did not match any of the 2 towers in Littleham
"St Mary the Blessed Virgin, Plympton St Mary",Plymouth,Devon,1,12741,high,,"Resolved via parish in building 'Plympton St Mary' (Plympton St Mary, S Mary BV)"
St Andrew,Much Hadham,Hertfordshire,1,14194,high,,Unique tower in Much Hadham; dedication 'S Andrew' matches 'St Andrew'
Holy Trinity,Hoghton,Lancashire,1,11022,high,,Unique tower in Hoghton; dedication 'Holy Trinity' matches 'Holy Trinity'
St Andrew,Dowlish Wake,Somerset,1,13853,high,,Unique tower in Dowlish Wake; dedication 'S Andrew' matches 'St Andrew'
SS Peter & Paul,Newport Pagnell,Buckinghamshire,1,10854,medium,25789,Partial dedication match for 'S Peter & S Paul' among 2 towers in town
St Mary's Centre,Chester,Cheshire,1,14876,medium,15972;13678;15763;19117;25905;19118,Partial dedication match for 'Old St Mary's' among 7 towers in town
Priory Church of SS Mary and Cuthbert,Worksop,Nottinghamshire,1,10021,medium,11077;25004,Partial dedication match for 'Priory Ch of S Mary & S Cuthbert' among 3 towers in town
The Little Orchard Tower,East Huntspill,Somerset,1,17459,high,19799,Resolved dedication 'Little Orchard Tower' (East Huntspill) among 2 towers in town
St Michael and All Angels,Clyst Honiton,Devon,1,11114,high,,Unique tower in Clyst Honiton; dedication 'S Michael & All Angels' matches 'St Michael and All Angels'
"St Michael and All Angels, Pinhoe",Exeter,Devon,1,13926,high,,"Resolved via parish in building 'Pinhoe' (Pinhoe, S Michael & All Angels)"
The Midways Campanile,Stubbington,Hampshire,1,25255,medium,25509;25510,Partial dedication match for 'Narnia Campanile' among 3 towers in town
Cathedral Church of St Peter and St Paul,Washington,District of Columbia,1,14848,high,15305,Resolved dedication 'Cath Ch of S Peter & S Paul' (Washington) among 2 towers in town
All Saints,Dewsbury,West Yorkshire,1,10877,high,,Unique tower in Dewsbury; dedication 'Minster Ch of All Saints' matches 'All Saints'
"Reedham, Roseville (MN), St Paul (MN), Coon Rapids (MN), Vancouver (WA)",Ringing Room,UK & USA,1,,none,,Virtual ringing platform or dispersed locations
St George the Martyr,Southwark,Surrey,1,,none,,No matching tower found for 'Southwark' in Dove register
,Poplar,Middx,1,14021,medium,25592,Partial dedication match for 'All Saints' among 2 towers in town
,Ringing Room UK,"Bearsden, Cambridge, Cambridge, Eaton Socon",1,,none,,No matching tower found for 'Ringing Room UK' in Dove register
St Mary the Blessed Virgin,Olveston,Gloucestershire,1,14742,high,,Unique tower in Olveston; dedication 'S Mary V' matches 'St Mary the Blessed Virgin'
St John the Baptist,Mersham,Kent,1,15356,high,,Unique tower in Mersham; dedication 'S John Bapt' matches 'St John the Baptist'
Our Lady and the English Martyrs,Cambridge,Cambridgeshire,1,12645,medium,15139;16664;14964;17550;13803;13748;18933;18934;25479;18935,Partial dedication match for 'Our Lady & Eng Martyrs' among 27 towers in town
St Michael and all Angels,Mottram-in-Longdendale,Cheshire,1,12605,high,,Unique tower in Mottram in Longdendale; dedication 'S Michael' matches 'St Michael and all Angels'
60 Liverpool Street,Southampton,Hampshire,1,,none,,Private residence address (handbell ring)
"Cheltenham, Napierville (IL), Oldham, Vernet-les-Bains",Ringing Room,"UK, USA & France",1,,none,,Virtual ringing platform or dispersed locations
MTB,Hopton Heath,Shropshire,1,13820,medium,,"Sole ringing tower in Hopton Heath, but dedication 'nan' differs from source 'MTB'"
Christ Church,North Shields,Northumberland,1,,none,,No matching tower found for 'North Shields' in Dove register
,Great Hampton,Worcs,1,12445,high,,Unique tower in Great Hampton (Worcestershire); building unspecified in source
St Bartholomew,Haslemere,Surrey,1,13219,high,20687,Resolved dedication 'S Bartholomew' (Haslemere) among 2 towers in town
St John Horsleydown,Southwark,Surrey,1,,none,,No matching tower found for 'Southwark' in Dove register
Unknown,Norwich,Norfolk,1,,none,13262;10164;14724;13293;15574;15668;15623;11970;10466;22493,Unresolved: 'Unknown' did not match any of the 20 towers in Norwich
"The Osborn Arms, Heneage Street",Spitalfields,Greater London,1,,none,,Private residence name (handbell ring)
St John the Evangelist,Groton,Massachusetts,1,15745,medium,,"Sole ringing tower in Groton, but dedication 'Groton School Chapel' differs from source 'St John the Evangelist'"
St Mary and St Thomas,Wymondham,Norfolk,1,16892,medium,,"Sole ringing tower in Wymondham, but dedication 'Abbey Ch of S Mary V & S Thomas a Becket' differs from source 'St Mary and St Thomas'"
,Cambridge (MIT),Massachusetts,1,,none,,No matching tower found for 'Cambridge (MIT)' in Dove register
SS. Peter & Paul,Coleshill,Warwickshire,1,10412,high,,Unique tower in Coleshill; dedication 'S Peter & S Paul' matches 'SS. Peter & Paul'
Cathedral,Derby,,1,16607,high,16699;10354;19605;19606;19609;19610;19611;19613,Resolved dedication 'Cath Ch of All Saints' (Derby) among 9 towers in town
St Mary,Kidderminster,,1,13561,high,21284;21288;21285;21286;21287,Resolved dedication 'S Mary & All Saints' (Kidderminster) among 6 towers in town
St John the Baptist,Cardiff,South Glamorgan,1,12372,high,25554,Resolved dedication 'S John Bapt' (Cardiff) among 2 towers in town
St James,kingston,Dorset,1,14840,high,,Unique tower in Kingston; dedication 'S James' matches 'St James'
Wells Cathedral,Wells,,1,,none,13876;17150;24518,Unresolved: 'Wells Cathedral' did not match any of the 3 towers in Wells
Barstable School,Barstable,Essex,1,,none,,No matching tower found for 'Barstable' in Dove register
St Mark,Worsley,Gtr. Man,1,,none,,No matching tower found for 'Worsley' in Dove register
St Peter,Bexhill on Sea,East Sussex,1,12863,high,,Unique tower in Bexhill on Sea; dedication 'S Peter' matches 'St Peter'
St Peter and St Paul,Blockley,Gloucestershire,1,12356,high,,Unique tower in Blockley; dedication 'S Peter & S Paul' matches 'St Peter and St Paul'
"Holy Sepulchre without Newgate, Holborn Viaduct",City of London,,1,11081,high,15228;13868;12429;13028;11914;16634;16578;10471;16020;13189,Resolved dedication 'S Andrew Holborn' (London) among 42 towers in town
76 Ashlawn Road,Rugby,Warwickshire,1,,none,,Private residence address (handbell ring)
,Reigate,Surrey,1,14463,medium,12939;25440;25441,Partial dedication match for 'S Mark' among 4 towers in town
Abbey Church of St Mary the Virgin and St Thomas a Becket,Wymondham,Norfolk,1,16892,high,,Unique tower in Wymondham; dedication 'Abbey Ch of S Mary V & S Thomas a Becket' matches 'Abbey Church of St Mary the Virgin and St Thomas a Becket'
"Ship and Sailor, Effingham Place",Deptford,Greater London,1,,none,12533;19603;19604;16313,"Unresolved: 'Ship and Sailor, Effingham Place' did not match any of the 4 towers in Deptford"
St Mary the Virgin,Saffron Walden,Essex,1,12985,high,,Unique tower in Saffron Walden; dedication 'S Mary V' matches 'St Mary the Virgin'
St Philip,Birmingham,,1,15513,high,16786;13032;14891;12955;25526;25540;25808,Resolved dedication 'Cath Ch of S Philip' (Birmingham) among 8 towers in town
23 Park Road,Rugby,,1,,none,,Private residence address (handbell ring)
,St Marychurch,Devon,1,15054,high,,Unique tower in St Marychurch (Devon); building unspecified in source
St Laurence,Stroud,Gloucestershire,1,14747,high,23878,Resolved dedication 'S Laurence' (Stroud) among 2 towers in town
Christ Church,West Bromwich,Staffordshire,1,,none,13138;24557;24558;24560;24559,Unresolved: 'Christ Church' did not match any of the 5 towers in West Bromwich
St Peter and St Paul,Cudham,Greater London,1,11480,high,,Unique tower in Cudham; dedication 'S Peter & S Paul' matches 'St Peter and St Paul'
All Saints,Gosforth,Northumb,1,,none,,No matching tower found for 'Gosforth' in Dove register
"Great Hockham,Oldham, Norwich, South Walsham & Wymondham",Ringing Room,Uk,1,,none,,Virtual ringing platform or dispersed locations
1 Totland Grove,Chester,Cheshire,1,,none,,Private residence address (handbell ring)
,Malvern Link,Worcs,1,16823,medium,21932,Partial dedication match for 'S Matthias' among 2 towers in town
St Sidwell,Exeter,Devon,1,20013,high,13963;14687;16135;15779;16959;14227;20007;20008;25133;20009,Resolved dedication 'S Sidwell' (Exeter) among 16 towers in town
Lavenham,Gravesend,Kent,1,,none,15494;20384,Unresolved: 'Lavenham' did not match any of the 2 towers in Gravesend
St George,Stockport,,1,14137,high,14733;23798;23799;23800;25653;22535,Resolved dedication 'S George' (Stockport) among 7 towers in town
St Mary and St Lambert,Stonham Aspal,Suffolk,1,15781,high,,Unique tower in Stonham Aspal; dedication 'S Mary & S Lambert' matches 'St Mary and St Lambert'
S Michael Archangel,Lyme Regis,Dorset,1,14094,high,,Unique tower in Lyme Regis; dedication 'S Michael Archangel' matches 'S Michael Archangel'
St Peter Mancroft,Norwich,,1,11970,high,13262;10164;14724;13293;15574;15668;15623;10466;22493;25547,Resolved dedication 'S Peter Mancroft' (Norwich) among 20 towers in town
All Saints,Leighton Buzzard,Bedfordshire,1,10931,high,,Unique tower in Leighton Buzzard; dedication 'All Saints' matches 'All Saints'
Unknown,Abingdon,Oxfordshire,1,,none,15023;10628;17803,Unresolved: 'Unknown' did not match any of the 3 towers in Abingdon
12 Greville Place,St John's Wood,Middlesex,1,,none,,Private residence address (handbell ring)
St Giles Belfry,Newcastle,Staffordshire,1,,none,,No matching tower found for 'Newcastle' in Dove register
St John the Baptist,Yeovil,Somerset,1,15997,high,25084;25085;25086,Resolved dedication 'S John Bapt' (Yeovil) among 4 towers in town
,Bromsgrove,,1,10080,medium,18734;18735,Partial dedication match for 'S John Bapt' among 3 towers in town
St John the Baptist,Bromsgrove,Worcestershire,1,10080,high,18734;18735,Resolved dedication 'S John Bapt' (Bromsgrove) among 3 towers in town
St Michael,Aylsham,Norfolk,1,16792,high,,Unique tower in Aylsham; dedication 'S Michael' matches 'St Michael'
St Nicholas,Brighton,,1,10859,high,16546;10532;14297;14589;18660;18670;18662;18663;18664;18665,Resolved dedication 'S Nicholas' (Brighton) among 17 towers in town
,Reigate,,1,14463,medium,12939;25440;25441,Partial dedication match for 'S Mark' among 4 towers in town
"Eaton Socon,Wetton, Cambridge, Oldham & Great Hockham",Ringing Room,UK,1,,none,,Virtual ringing platform or dispersed locations
,Banbury,,1,14105,medium,13990;25738;18096;18097,Partial dedication match for 'S John Ev' among 5 towers in town
Blessed Virgin Mary,Bathwick,Somerset,1,13019,high,18180,Resolved dedication 'Blessed Virgin Mary' (Bath) among 2 towers in town
Priory Church of SS Mary and Michael,Great Malvern,Worcestershire,1,13083,medium,17682;20417,Partial dedication match for 'Priory Ch of S Mary & S Michael' among 3 towers in town
Cathedral Church of the Blessed Virgin Mary and St Ethelbert,Hereford,Herefordshire,1,16543,high,12843;11693;15881;20819;20820;20821;20822,Resolved dedication 'Cath Ch of BVM & S Ethelbert' (Hereford) among 8 towers in town
St Michael & All Angels,Aston Clinton,Buckinghamshire,1,17117,high,,Unique tower in Aston Clinton; dedication 'S Michael & All Angels' matches 'St Michael & All Angels'
St Mary,Bocking,Essex,1,14707,high,18464,Resolved dedication 'S Mary' (Bocking) among 2 towers in town
Cathedral,Hereford,,1,16543,high,12843;11693;15881;20819;20820;20821;20822,Resolved dedication 'Cath Ch of BVM & S Ethelbert' (Hereford) among 8 towers in town
St Andrew,Hornchurch,Greater London,1,14513,high,21023,Resolved dedication 'S Andrew' (Hornchurch) among 2 towers in town
All Saints,Nottingham,,1,16412,high,10637;16058;25524;22500;22501;22502;22503,Resolved dedication 'All Saints' (Nottingham) among 8 towers in town
The Bell Meadow Peal,Warnham,,1,,none,25269;15727;25663,Unresolved: 'The Bell Meadow Peal' did not match any of the 3 towers in Warnham
St Botolph,Newbold on Avon,Warwickshire,1,13231,high,,Unique tower in Newbold on Avon; dedication 'S Botolph' matches 'St Botolph'
Cathedral,Portsmouth,Hampshire,1,13220,high,25238;17042;16279;25536,Resolved dedication 'Cath Ch of S Thomas of Canterbury' (Portsmouth) among 5 towers in town
St James,Whitehaven,Cumbria,1,11872,high,,Unique tower in Whitehaven; dedication 'S James' matches 'St James'
"Strand, St Clement Danes",Westminster,Greater London,1,13512,high,13657;15153;14872;12465;25551;25523;25538;24658;24660;24654,Resolved dedication 'S Clement Danes' (Westminster) among 16 towers in town
33 Osborne Road,Palmers Green,Greater London,1,,none,,Private residence address (handbell ring)
St Mary,Stafford,Staffordshire,1,16829,high,12094;23679;23680;19687,Resolved dedication 'S Mary' (Stafford) among 5 towers in town
Cathedral Church of St Thomas of Canturbury,Portsmouth,Hampshire,1,13220,medium,25238;17042;16279;25536,Partial dedication match for 'Cath Ch of S Thomas of Canterbury' among 5 towers in town
34 Hammelton Road,Bromley,Kent,1,,none,,Private residence address (handbell ring)
,Roker,,1,11440,medium,23057,Partial dedication match for 'S Andrew' among 2 towers in town
"Vernet-le-Bains, Cambridge, Glasgow, Wetton & Great Hockham",Ringing Room,UK & France,1,,none,,Virtual ringing platform or dispersed locations
St Mary,St. Neots,Cambridgeshire,1,12275,high,25247,Resolved dedication 'S Mary' (St Neots) among 2 towers in town
St Thomas a Becket,Stockton on Tees,Cleveland,1,,none,,No matching tower found for 'Stockton on Tees' in Dove register
,Hillingdon,,1,15193,medium,20897,Partial dedication match for 'S John Bapt' among 2 towers in town
Lady S Mary,Wareham,Dorset,1,11178,high,24433,Resolved dedication 'Lady S Mary' (Wareham) among 2 towers in town
